Rank,Book Name,Simile,Tenor,Vehicle,Shared Property
4,Romeo and Juliet,"each part depriv’d of supple government, shall stiff and stark and cold appear like death.",part,death,
4,Romeo and Juliet,"or, if i live, is it not very like, the horrible conceit of death and night, together with the terror of the place, as in a vault, an ancient receptacle, where for this many hundred years the bones of all my buried ancestors are pack’d, where bloody tybalt, yet but green in earth, lies festering in his shroud; where, as they say, at some hours in the night spirits resort— alack, alack, is it not like that i, so early waking, what with loathsome smells, and shrieks like mandrakes torn out of the earth, that living mortals, hearing them, run mad.",I,conceit,
4,Romeo and Juliet,death lies on her like an untimely frost upon the sweetest flower of all the field.,death,frost,
97,Paradise Lost,"the broad circumference hung on his shoulders like the moon, whose orb through optic glass the tuscan artist views at evening, from the top of fesole, or in valdarno, to descry new lands, rivers, or mountains, in her spotty globe.",circumference,moon,
97,Paradise Lost,"his spear—to equal which the tallest pine hewn on norwegian hills, to be the mast of some great ammiral, were but a wand— he walked with, to support uneasy steps over the burning marl, not like those steps on heaven’s azure; and the torrid clime smote on him sore besides, vaulted with fire.",spear,pine,
97,Paradise Lost,"as when the potent rod of amram’s son, in egypt’s evil day, waved round the coast, up-called a pitchy cloud of locusts, warping on the eastern wind, that o’er the realm of impious pharaoh hung like night, and darkened all the land of nile; so numberless were those bad angels seen hovering on wing under the cope of hell, ’twixt upper, nether, and surrounding fires; till, as a signal given, th’ uplifted spear of their great sultan waving to direct their course, in even balance down they light on the firm brimstone, and fill all the plain: a multitude like which the populous north poured never from her frozen loins to pass rhene or the danaw, when her barbarous sons came like a deluge on the south, and spread beneath gibraltar to the libyan sands.",angels,Locusts,
97,Paradise Lost,"for spirits, when they please, can either sex assume, or both; so soft and uncompounded is their essence pure, not tried or manacled with joint or limb, nor founded on the brittle strength of bones, like cumbrous flesh; but, in what shape they choose, dilated or condensed, bright or obscure, can execute their airy purposes, and works of love or enmity fulfil.",spirits  ,shape,
97,Paradise Lost,"these were the prime in order and in might: the rest were long to tell; though far renowned th’ ionian gods—of javan’s issue held gods, yet confessed later than heaven and earth, their boasted parents;—titan, heaven’s first-born, with his enormous brood, and birthright seized by younger saturn: he from mightier jove, his own and rhea’s son, like measure found; so jove usurping reigned.",gods,titan,
97,Paradise Lost,"all these and more came flocking; but with looks downcast and damp; yet such wherein appeared obscure some glimpse of joy to have found their chief not in despair, to have found themselves not lost in loss itself; which on his countenance cast like doubtful hue.",Chief,Beacon,
97,Paradise Lost,"that proud honour claimed azazel as his right, a cherub tall: who forthwith from the glittering staff unfurled th’ imperial ensign; which, full high advanced, shone like a meteor streaming to the wind, with gems and golden lustre rich emblazed, seraphic arms and trophies; all the while sonorous metal blowing martial sounds: at which the universal host up-sent a shout that tore hell’s concave, and beyond frighted the reign of chaos and old night.",Azazel,Meteor,
97,Paradise Lost,"he, above the rest in shape and gesture proudly eminent, stood like a tower.",he,tower,
97,Paradise Lost,"but what power of mind, forseeing or presaging, from the depth of knowledge past or present, could have feared how such united force of gods, how such as stood like these, could ever know repulse?",power,force,
97,Paradise Lost,"anon out of the earth a fabric huge rose like an exhalation, with the sound of dulcet symphonies and voices sweet— built like a temple, where pilasters round were set, and doric pillars overlaid with golden architrave; nor did there want cornice or frieze, with bossy sculptures graven; the roof was fretted gold.",fabric,temple,
97,Paradise Lost,"nor was his name unheard or unadored in ancient greece; and in ausonian land men called him mulciber; and how he fell from heaven they fabled, thrown by angry jove sheer o’er the crystal battlements: from morn to noon he fell, from noon to dewy eve, a summer’s day, and with the setting sun dropt from the zenith, like a falling star, on lemnos, th’ aegaean isle.",name,star,
97,Paradise Lost,"all access was thronged; the gates and porches wide, but chief the spacious hall (though like a covered field, where champions bold wont ride in armed, and at the soldan’s chair defied the best of paynim chivalry to mortal combat, or career with lance), thick swarmed, both on the ground and in the air, brushed with the hiss of rustling wings.",hall,field,
97,Paradise Lost,"but far within, and in their own dimensions like themselves, the great seraphic lords and cherubim in close recess and secret conclave sat, a thousand demi-gods on golden seats, frequent and full.",lords,demi-gods,
97,Paradise Lost,"there is a place (if ancient and prophetic fame in heaven err not)—another world, the happy seat of some new race, called man, about this time to be created like to us, though less in power and excellence, but favoured more of him who rules above; so was his will pronounced among the gods, and by an oath that shook heaven’s whole circumference confirmed.",place,world,
97,Paradise Lost,"the bold design pleased highly those infernal states, and joy sparkled in all their eyes: with full assent they vote: whereat his speech he thus renews:— “well have ye judged, well ended long debate, synod of gods, and, like to what ye are, great things resolved, which from the lowest deep will once more lift us up, in spite of fate, nearer our ancient seat—perhaps in view of those bright confines, whence, with neighbouring arms, and opportune excursion, we may chance re-enter heaven; or else in some mild zone dwell, not unvisited of heaven’s fair light, secure, and at the brightening orient beam purge off this gloom: the soft delicious air, to heal the scar of these corrosive fires, shall breathe her balm.",states,infernal,wickedness
97,Paradise Lost,"on th’ other side, incensed with indignation, satan stood unterrified, and like a comet burned, that fires the length of ophiuchus huge in th’ arctic sky, and from his horrid hair shakes pestilence and war.",Satan,Comet,
97,Paradise Lost,so frowned the mighty combatants that hell grew darker at their frown; so matched they stood; for never but once more was wither like to meet so great a foe.,combatants,storm,intensity
97,Paradise Lost,"she opened; but to shut excelled her power: the gates wide open stood, that with extended wings a bannered host, under spread ensigns marching, might pass through with horse and chariots ranked in loose array; so wide they stood, and like a furnace-mouth cast forth redounding smoke and ruddy flame.",Gates,Furnace-mouth,
97,Paradise Lost,"go, and speed; havoc, and spoil, and ruin, are my gain.” he ceased; and satan stayed not to reply, but, glad that now his sea should find a shore, with fresh alacrity and force renewed springs upward, like a pyramid of fire, into the wild expanse, and through the shock of fighting elements, on all sides round environed, wins his way; harder beset and more endangered than when argo passed through bosporus betwixt the justling rocks, or when ulysses on the larboard shunned charybdis, and by th’ other whirlpool steered.",Satan,Pyramid,
97,Paradise Lost,"here nature first begins her farthest verge, and chaos to retire, as from her outmost works, a broken foe, with tumult less and with less hostile din; that satan with less toil, and now with ease, wafts on the calmer wave by dubious light, and, like a weather-beaten vessel, holds gladly the port, though shrouds and tackle torn; or in the emptier waste, resembling air, weighs his spread wings, at leisure to behold far off th’ empyreal heaven, extended wide in circuit, undetermined square or round, with opal towers and battlements adorned of living sapphire, once his native seat; and, fast by, hanging in a golden chain, this pendent world, in bigness as a star of smallest magnitude close by the moon.",Satan,vessel,
97,Paradise Lost,"then, crowned again, their golden harps they took, harps ever tuned, that glittering by their side like quivers hung, and with preamble sweet of charming symphony they introduce their sacred song, and waken raptures high; no voice exempt, no voice but well could join melodious part, such concord is in heaven.",harps  ,quivers,
97,Paradise Lost,"as when a vultur on imaus bred, whose snowy ridge the roving tartar bounds, dislodging from a region scarce of prey to gorge the flesh of lambs or yeanling kids, on hills where flocks are fed, flies toward the springs of ganges or hydaspes, indian streams; but in his way lights on the barren plains of sericana, where chineses drive with sails and wind their cany waggons light: so, on this windy sea of land, the fiend walked up and down alone, bent on his prey; alone, for other creature in this place, living or lifeless, to be found was none; none yet, but store hereafter from the earth up hither like aereal vapours flew of all things transitory and vain, when sin with vanity had filled the works of men: both all things vain, and all who in vain things built their fond hopes of glory or lasting fame, or happiness in this or the other life; all who have their reward on earth, the fruits of painful superstition and blind zeal, nought seeking but the praise of men, here find fit retribution, empty as their deeds; all the unaccomplished works of nature’s hand, abortive, monstrous, or unkindly mixed, dissolved on earth, fleet hither, and in vain, till final dissolution, wander here; not in the neighbouring moon as some have dreamed; those argent fields more likely habitants, translated saints, or middle spirits hold betwixt the angelical and human kind.",Fiend  ,Vultur  ,
97,Paradise Lost,"round he surveys (and well might, where he stood so high above the circling canopy of night’s extended shade,) from eastern point of libra to the fleecy star that bears andromeda far off atlantick seas beyond the horizon; then from pole to pole he views in breadth, and without longer pause down right into the world’s first region throws his flight precipitant, and winds with ease through the pure marble air his oblique way amongst innumerable stars, that shone stars distant, but nigh hand seemed other worlds; or other worlds they seemed, or happy isles, like those hesperian gardens famed of old, fortunate fields, and groves, and flowery vales, thrice happy isles; but who dwelt happy there he staid not to inquire: above them all the golden sun, in splendour likest heaven, allured his eye; thither his course he bends through the calm firmament, (but up or down, by center, or eccentrick, hard to tell, or longitude,) where the great luminary aloof the vulgar constellations thick, that from his lordly eye keep distance due, dispenses light from far; they, as they move their starry dance in numbers that compute days, months, and years, towards his all-cheering lamp turn swift their various motions, or are turned by his magnetick beam, that gently warms the universe, and to each inward part with gentle penetration, though unseen, shoots invisible virtue even to the deep; so wonderously was set his station bright.",he,sun,
97,Paradise Lost,"there lands the fiend, a spot like which perhaps astronomer in the sun’s lucent orb through his glazed optick tube yet never saw.",fiend,spot,
97,Paradise Lost,"the place he found beyond expression bright, compared with aught on earth, metal or stone; not all parts like, but all alike informed with radiant light, as glowing iron with fire; if metal, part seemed gold, part silver clear; if stone, carbuncle most or chrysolite, ruby or topaz, to the twelve that shone in aaron’s breast-plate, and a stone besides imagined rather oft than elsewhere seen, that stone, or like to that which here below philosophers in vain so long have sought, in vain, though by their powerful art they bind volatile hermes, and call up unbound in various shapes old proteus from the sea, drained through a limbeck to his native form.",place,"metal, stone",
97,Paradise Lost,"uriel, for thou of those seven spirits that stand in sight of god’s high throne, gloriously bright, the first art wont his great authentick will interpreter through highest heaven to bring, where all his sons thy embassy attend; and here art likeliest by supreme decree like honour to obtain, and as his eye to visit oft this new creation round; unspeakable desire to see, and know all these his wonderous works, but chiefly man, his chief delight and favour, him for whom all these his works so wonderous he ordained, hath brought me from the quires of cherubim alone thus wandering.",Uriel,spirit,
97,Paradise Lost,"o thou, that, with surpassing glory crowned, lookest from thy sole dominion like the god of this new world; at whose sight all the stars hide their diminished heads; to thee i call, but with no friendly voice, and add thy name, of sun!",thou,god,
97,Paradise Lost,"thence up he flew, and on the tree of life, the middle tree and highest there that grew, sat like a cormorant; yet not true life thereby regained, but sat devising death to them who lived; nor on the virtue thought of that life-giving plant, but only used for prospect, what well used had been the pledge of immortality.",he,cormorant,
97,Paradise Lost,"as i bent down to look, just opposite a shape within the watery gleam appeared, bending to look on me: i started back, it started back; but pleased i soon returned, pleased it returned as soon with answering looks of sympathy and love: there i had fixed mine eyes till now, and pined with vain desire, had not a voice thus warned me; “what thou seest, what there thou seest, fair creature, is thyself; with thee it came and goes: but follow me, and i will bring thee where no shadow stays thy coming, and thy soft embraces, he whose image thou art; him thou shalt enjoy inseparably thine, to him shalt bear multitudes like thyself, and thence be called mother of human race.” what could i do, but follow straight, invisibly thus led?",Creature,Shape,
97,Paradise Lost,"so saying, on he led his radiant files, dazzling the moon; these to the bower direct in search of whom they sought: him there they found squat like a toad, close at the ear of eve, assaying by his devilish art to reach the organs of her fancy, and with them forge illusions, as he list, phantasms and dreams; or if, inspiring venom, he might taint the animal spirits, that from pure blood arise like gentle breaths from rivers pure, thence raise at least distempered, discontented thoughts, vain hopes, vain aims, inordinate desires, blown up with high conceits ingendering pride.",him,toad,
97,Paradise Lost,"and, transformed, why sat’st thou like an enemy in wait, here watching at the head of these that sleep?",thou,enemy,
97,Paradise Lost,"ye knew me once no mate for you, there sitting where ye durst not soar: not to know me argues yourselves unknown, the lowest of your throng; or, if ye know, why ask ye, and superfluous begin your message, like to end as much in vain?",ye  ,mate,
97,Paradise Lost,"the fiend replied not, overcome with rage; but, like a proud steed reined, went haughty on, champing his iron curb: to strive or fly he held it vain; awe from above had quelled his heart, not else dismayed.",fiend,steed,
97,Paradise Lost,"on the other side, satan, alarmed, collecting all his might, dilated stood, like teneriff or atlas, unremoved: his stature reached the sky, and on his crest sat horrour plumed; nor wanted in his grasp what seemed both spear and shield: now dreadful deeds might have ensued, nor only paradise in this commotion, but the starry cope of heaven perhaps, or all the elements at least had gone to wrack, disturbed and torn with violence of this conflict, had not soon the eternal, to prevent such horrid fray, hung forth in heaven his golden scales, yet seen betwixt astrea and the scorpion sign, wherein all things created first he weighed, the pendulous round earth with balanced air in counterpoise, now ponders all events, battles and realms: in these he put two weights, the sequel each of parting and of fight: the latter quick up flew, and kicked the beam, which gabriel spying, thus bespake the fiend.",Satan,atlas,
97,Paradise Lost,"in whose sight all things joy, with ravishment attracted by thy beauty still to gaze.” i rose as at thy call, but found thee not; to find thee i directed then my walk; and on, methought, alone i passed through ways that brought me on a sudden to the tree of interdicted knowledge: fair it seemed, much fairer to my fancy than by day: and, as i wondering looked, beside it stood one shaped and winged like one of those from heaven by us oft seen; his dewy locks distilled ambrosia; on that tree he also gazed; and “o fair plant,” said he, “with fruit surcharged, deigns none to ease thy load, and taste thy sweet, nor god, nor man?",plant  ,plant,beauty
97,Paradise Lost,"best image of myself, and dearer half, the trouble of thy thoughts this night in sleep affects me equally; nor can i like this uncouth dream, of evil sprung, i fear; yet evil whence?",myself,image,
97,Paradise Lost,"like maia’s son he stood, and shook his plumes, that heavenly fragrance filled the circuit wide.",he  ,son,
97,Paradise Lost,"so to the sylvan lodge they came, that like pomona’s arbour smiled, with flowerets decked, and fragrant smells; but eve, undecked save with herself, more lovely fair than wood-nymph, or the fairest goddess feigned of three that in mount ida naked strove, stood to entertain her guest from heaven; no veil she needed, virtue-proof; no thought infirm altered her cheek.",Eve,arbour,
97,Paradise Lost,"yet for thy good this is dispensed; and what surmounts the reach of human sense, i shall delineate so, by likening spiritual to corporal forms, as may express them best; though what if earth be but a shadow of heaven, and things therein each to other like, more than on earth is thought?",earth,shadow,
97,Paradise Lost,"there is a cave within the mount of god, fast by his throne, where light and darkness in perpetual round lodge and dislodge by turns, which makes through heaven grateful vicissitude, like day and night; light issues forth, and at the other door obsequious darkness enters, till her hour to veil the heaven, though darkness there might well seem twilight here: and now went forth the morn such as in highest heaven arrayed in gold empyreal; from before her vanished night, shot through with orient beams; when all the plain covered with thick embattled squadrons bright, chariots, and flaming arms, and fiery steeds, reflecting blaze on blaze, first met his view: war he perceived, war in procinct; and found already known what he for news had thought to have reported: gladly then he mixed among those friendly powers, who him received with joy and acclamations loud, that one, that of so many myriads fallen, yet one returned not lost.",Morn,heaven,
97,Paradise Lost,"mean while in other parts like deeds deserved memorial, where the might of gabriel fought, and with fierce ensigns pierced the deep array of moloch, furious king; who him defied, and at his chariot-wheels to drag him bound threatened, nor from the holy one of heaven refrained his tongue blasphemous; but anon down cloven to the waist, with shattered arms and uncouth pain fled bellowing.",Gabriel,Warrior,
97,Paradise Lost,"he, who therefore can invent with what more forcible we may offend our yet unwounded enemies, or arm ourselves with like defence, to me deserves no less than for deliverance what we owe.",he,inventor,
97,Paradise Lost,"so scoffing in ambiguous words, he scarce had ended; when to right and left the front divided, and to either flank retired: which to our eyes discovered, new and strange, a triple mounted row of pillars laid on wheels (for like to pillars most they seemed, or hollowed bodies made of oak or fir, with branches lopt, in wood or mountain felled,) brass, iron, stony mould, had not their mouths with hideous orifice gaped on us wide, portending hollow truce: at each behind a seraph stood, and in his hand a reed stood waving tipt with fire; while we, suspense, collected stood within our thoughts amused, not long; for sudden all at once their reeds put forth, and to a narrow vent applied with nicest touch.",front,pillars,structure
97,Paradise Lost,"to whom thus belial, in like gamesome mood.",Belial,Gamesome,
97,Paradise Lost,"the rest, in imitation, to like arms betook them, and the neighbouring hills uptore: so hills amid the air encountered hills, hurled to and fro with jaculation dire; that under ground they fought in dismal shade; infernal noise!",hills,arms,
97,Paradise Lost,"up led by thee into the heaven of heavens i have presumed, an earthly guest, and drawn empyreal air, thy tempering: with like safety guided down return me to my native element: lest from this flying steed unreined, (as once bellerophon, though from a lower clime,) dismounted, on the aleian field i fall, erroneous there to wander, and forlorn.",I,steed,
97,Paradise Lost,"who am alone from all eternity; for none i know second to me or like, equal much less.",I,none,
97,Paradise Lost,"to the nuptial bower i led her blushing like the morn: all heaven, and happy constellations, on that hour shed their selectest influence; the earth gave sign of gratulation, and each hill; joyous the birds; fresh gales and gentle airs whispered it to the woods, and from their wings flung rose, flung odours from the spicy shrub, disporting, till the amorous bird of night sung spousal, and bid haste the evening-star on his hill top, to light the bridal lamp.",Her,blushing,
97,Paradise Lost,"o earth, how like to heaven, if not preferred for what god, after better, worse would build?",earth,heaven,
97,Paradise Lost,"so saying, through each thicket dank or dry, like a black mist low-creeping, he held on his midnight-search, where soonest he might find the serpent; him fast-sleeping soon he found in labyrinth of many a round self-rolled, his head the midst, well stored with subtile wiles: not yet in horrid shade or dismal den, nor nocent yet; but, on the grassy herb, fearless unfeared he slept: in at his mouth the devil entered; and his brutal sense, in heart or head, possessing, soon inspired with act intelligential; but his sleep disturbed not, waiting close the approach of morn.",He,mist,low-creeping
97,Paradise Lost,"if this be our condition, thus to dwell in narrow circuit straitened by a foe, subtle or violent, we not endued single with like defence, wherever met; how are we happy, still in fear of harm?",condition,circuit,
97,Paradise Lost,"thus saying, from her husband’s hand her hand soft she withdrew; and, like a wood-nymph light, oread or dryad, or of delia’s train, betook her to the groves; but delia’s self in gait surpassed, and goddess-like deport, though not as she with bow and quiver armed, but with such gardening tools as art yet rude, guiltless of fire, had formed, or angels brought.",hand,wood-nymph,
97,Paradise Lost,"about the mossy trunk i wound me soon; for, high from ground, the branches would require thy utmost reach or adam’s: round the tree all other beasts that saw, with like desire longing and envying stood, but could not reach.",branches,adam's,
97,Paradise Lost,"however i with thee have fixed my lot, certain to undergo like doom: if death consort with thee, death is to me as life; so forcible within my heart i feel the bond of nature draw me to my own; my own in thee, for what thou art is mine; our state cannot be severed; we are one, one flesh; to lose thee were to lose myself.",Life,Death,
97,Paradise Lost,"so spake this oracle, then verified when jesus, son of mary, second eve, saw satan fall, like lightning, down from heaven, prince of the air; then, rising from his grave spoiled principalities and powers, triumphed in open show; and, with ascension bright, captivity led captive through the air, the realm itself of satan, long usurped; whom he shall tread at last under our feet; even he, who now foretold his fatal bruise; and to the woman thus his sentence turned.",Satan,Lightning,
97,Paradise Lost,"it cannot be but that success attends him; if mishap, ere this he had returned, with fury driven by his avengers; since no place like this can fit his punishment, or their revenge.",him,fury,
97,Paradise Lost,"a croud of ugly serpents; horrour on them fell, and horrid sympathy; for, what they saw, they felt themselves, now changing; down their arms, down fell both spear and shield; down they as fast; and the dire hiss renewed, and the dire form catched, by contagion; like in punishment, as in their crime.",serpents,punishment,
97,Paradise Lost,"there stood a grove hard by, sprung up with this their change, his will who reigns above, to aggravate their penance, laden with fair fruit, like that which grew in paradise, the bait of eve used by the tempter: on that prospect strange their earnest eyes they fixed, imagining for one forbidden tree a multitude now risen, to work them further woe or shame; yet, parched with scalding thirst and hunger fierce, though to delude them sent, could not abstain; but on they rolled in heaps, and, up the trees climbing, sat thicker than the snaky locks that curled megaera: greedily they plucked the fruitage fair to sight, like that which grew near that bituminous lake where sodom flamed; this more delusive, not the touch, but taste deceived; they, fondly thinking to allay their appetite with gust, instead of fruit chewed bitter ashes, which the offended taste with spattering noise rejected: oft they assayed, hunger and thirst constraining; drugged as oft, with hatefullest disrelish writhed their jaws, with soot and cinders filled; so oft they fell into the same illusion, not as man whom they triumphed once lapsed.",Grove,fruit,
97,Paradise Lost,"some say, he bid his angels turn ascanse the poles of earth, twice ten degrees and more, from the sun’s axle; they with labour pushed oblique the centrick globe: some say, the sun was bid turn reins from the equinoctial road like distant breadth to taurus with the seven atlantick sisters, and the spartan twins, up to the tropick crab: thence down amain by leo, and the virgin, and the scales, as deep as capricorn; to bring in change of seasons to each clime; else had the spring perpetual smiled on earth with vernant flowers, equal in days and nights, except to those beyond the polar circles; to them day had unbenighted shone, while the low sun, to recompense his distance, in their sight had rounded still the horizon, and not known or east or west; which had forbid the snow from cold estotiland, and south as far beneath magellan.",Earth,top,
97,Paradise Lost,"these changes in the heavens, though slow, produced like change on sea and land; sideral blast, vapour, and mist, and exhalation hot, corrupt and pestilent: now from the north of norumbega, and the samoed shore, bursting their brazen dungeon, armed with ice, and snow, and hail, and stormy gust and flaw, boreas, and caecias, and argestes loud, and thrascias, rend the woods, and seas upturn; with adverse blast upturns them from the south notus, and afer black with thunderous clouds from serraliona; thwart of these, as fierce, forth rush the levant and the ponent winds, eurus and zephyr, with their lateral noise, sirocco and libecchio.",changes,winds,
97,Paradise Lost,"thus, what thou desirest, and what thou fearest, alike destroys all hope of refuge, and concludes thee miserable beyond all past example and future; to satan only like both crime and doom.",thee,satan,
97,Paradise Lost,"that name best befits thee with him leagued, thyself as false and hateful; nothing wants, but that thy shape, like his, and colour serpentine, may show thy inward fraud; to warn all creatures from thee henceforth; lest that too heavenly form, pretended to hellish falshood, snare them!",Thyself,Serpentine,
97,Paradise Lost,"but if thou judge it hard and difficult, conversing, looking, loving, to abstain from love’s due rights, nuptial embraces sweet; and with desire to languish without hope, before the present object languishing with like desire; which would be misery and torment less than none of what we dread; then, both ourselves and seed at once to free from what we fear for both, let us make short,— let us seek death;—or, he not found, supply with our own hands his office on ourselves: why stand we longer shivering under fears, that show no end but death, and have the power, of many ways to die the shortest choosing, destruction with destruction to destroy?— she ended here, or vehement despair broke off the rest: so much of death her thoughts had entertained, as dyed her cheeks with pale.",Love,Misery,
97,Paradise Lost,"o sons, like one of us man is become to know both good and evil, since his taste of that defended fruit; but let him boast his knowledge of good lost, and evil got; happier!",man,us,
97,Paradise Lost,"he ceased; and the arch-angelick power prepared for swift descent; with him the cohort bright of watchful cherubim: four faces each had, like a double janus; all their shape spangled with eyes more numerous than those of argus, and more wakeful than to drouse, charmed with arcadian pipe, the pastoral reed of hermes, or his opiate rod.",cherubim,janus,
97,Paradise Lost,"mean while the south-wind rose, and, with black wings wide-hovering, all the clouds together drove from under heaven; the hills to their supply vapour, and exhalation dusk and moist, sent up amain; and now the thickened sky like a dark ceiling stood; down rushed the rain impetuous; and continued, till the earth no more was seen: the floating vessel swum uplifted, and secure with beaked prow rode tilting o’er the waves; all dwellings else flood overwhelmed, and them with all their pomp deep under water rolled; sea covered sea, sea without shore; and in their palaces, where luxury late reigned, sea-monsters whelped and stabled; of mankind, so numerous late, all left, in one small bottom swum imbarked.",dwellings,sea-monsters,
97,Paradise Lost,"he with a crew, whom like ambition joins with him or under him to tyrannize, marching from eden towards the west, shall find the plain, wherein a black bituminous gurge boils out from under ground, the mouth of hell: of brick, and of that stuff, they cast to build a city and tower, whose top may reach to heaven; and get themselves a name; lest, far dispersed in foreign lands, their memory be lost; regardless whether good or evil fame.",crew,ambition,
97,Paradise Lost,"this patriarch blest, whom faithful abraham due time shall call, a son, and of his son a grand-child, leaves; like him in faith, in wisdom, and renown: the grandchild, with twelve sons increased, departs from canaan to a land hereafter called egypt, divided by the river nile see where it flows, disgorging at seven mouths into the sea.",patriarch,abraham,
97,Paradise Lost,"he ceased, discerning adam with such joy surcharged, as had like grief been dewed in tears, without the vent of words; which these he breathed.",adam,grief,
97,Paradise Lost,"for this he shall live hated, be blasphemed, seised on by force, judged, and to death condemned a shameful and accursed, nailed to the cross by his own nation; slain for bringing life: but to the cross he nails thy enemies, the law that is against thee, and the sins of all mankind, with him there crucified, never to hurt them more who rightly trust in this his satisfaction; so he dies, but soon revives; death over him no power shall long usurp; ere the third dawning light return, the stars of morn shall see him rise out of his grave, fresh as the dawning light, thy ransom paid, which man from death redeems, his death for man, as many as offered life neglect not, and the benefit embrace by faith not void of works: this god-like act annuls thy doom, the death thou shouldest have died, in sin for ever lost from life; this act shall bruise the head of satan, crush his strength, defeating sin and death, his two main arms; and fix far deeper in his head their stings than temporal death shall bruise the victor’s heel, or theirs whom he redeems; a death, like sleep, a gentle wafting to immortal life.",He,Death,
97,Paradise Lost,"nor after resurrection shall he stay longer on earth, than certain times to appear to his disciples, men who in his life still followed him; to them shall leave in charge to teach all nations what of him they learned and his salvation; them who shall believe baptizing in the profluent stream, the sign of washing them from guilt of sin to life pure, and in mind prepared, if so befall, for death, like that which the redeemer died.",he,death,
